Return.Yr.,Strata,Location.Reach,Habitat_Length_miles
2015,Gorge,Horsetail,0.16
2015,Gorge,Ives,1.01
2015,Gorge,Multnomah,0.24
2015,Gorge,St_Cloud,0.12
2014,Cascade,I205,0.15
2014,Coastal,Grays_CJ,1.04
2014,Coastal,Grays_MS,5.76
2014,Coastal,Grays_WF,4.18
2014,Gorge,Duncan_Creek,0.21
2014,Gorge,Hamilton_Channel,0.25
2014,Gorge,Hamilton_Creek,1.22
2014,Gorge,Hardy_Creek,0.07
2014,Gorge,Horsetail,0.16
2014,Gorge,Ives,1.01
2014,Gorge,Multnomah,0.24
2014,Gorge,St_Cloud,0.12
2013,Cascade,I205,0.15
2013,Coastal,Grays_CJ,1.04
2013,Coastal,Grays_MS,5.76
2013,Coastal,Grays_WF,4.18
2013,Gorge,Duncan_Creek,0.21
2013,Gorge,Hamilton_Channel,0.25
2013,Gorge,Hamilton_Creek,1.22
2013,Gorge,Hardy_Creek,0.07
2013,Gorge,Horsetail,0.16
2013,Gorge,Ives,1.01
2013,Gorge,Multnomah,0.24
2013,Gorge,St_Cloud,0.12
2012,Cascade,I205,0.15
2012,Coastal,Grays_CJ,1.04
2012,Coastal,Grays_MS,5.76
2012,Coastal,Grays_WF,4.18
2012,Gorge,Duncan_Creek,0.21
2012,Gorge,Hamilton_Channel,0.25
2012,Gorge,Hamilton_Creek,1.22
2012,Gorge,Hardy_Creek,0.07
2012,Gorge,Horsetail,0.16
2012,Gorge,Ives,1.01
2012,Gorge,Multnomah,0.24
2012,Gorge,St_Cloud,0.12
2011,Cascade,I205,0.15
2011,Coastal,Grays_CJ,1.04
2011,Coastal,Grays_MS,5.76
2011,Coastal,Grays_WF,4.18
2011,Gorge,Duncan_Creek,0.21
2011,Gorge,Hamilton_Channel,0.25
2011,Gorge,Hamilton_Creek,1.22
2011,Gorge,Hardy_Creek,0.07
2011,Gorge,Horsetail,0.16
2011,Gorge,Ives,1.01
2011,Gorge,Multnomah,0.24
2011,Gorge,St_Cloud,0.12
2010,Cascade,I205,0.15
2010,Coastal,Grays_CJ,1.04
2010,Coastal,Grays_MS,5.76
2010,Coastal,Grays_WF,4.18
2010,Gorge,Duncan_Creek,0.12
2010,Gorge,Hamilton_Channel,0.19
2010,Gorge,Hamilton_Creek,1.22
2010,Gorge,Hardy_Creek,0.07
2010,Gorge,Horsetail,0.16
2010,Gorge,Ives,1.01
2010,Gorge,Multnomah,0.24
2010,Gorge,St_Cloud,0.12
2009,Cascade,I205,0.15
2009,Coastal,Grays_CJ,1.04
2009,Coastal,Grays_MS,5.76
2009,Coastal,Grays_WF,4.18
2009,Gorge,Duncan_Creek,0.12
2009,Gorge,Hamilton_Channel,0.25
2009,Gorge,Hamilton_Creek,1.22
2009,Gorge,Hardy_Creek,0.07
2009,Gorge,Horsetail,0.16
2009,Gorge,Ives,1.01
2009,Gorge,Multnomah,0.24
2009,Gorge,St_Cloud,0.12
2008,Cascade,I205,0.15
2008,Coastal,Grays_CJ,1.04
2008,Coastal,Grays_MS,5.76
2008,Coastal,Grays_WF,4.18
2008,Gorge,Duncan_Creek,0.12
2008,Gorge,Hamilton_Channel,0.25
2008,Gorge,Hamilton_Creek,1.22
2008,Gorge,Hardy_Creek,0.07
2008,Gorge,Horsetail,0.16
2008,Gorge,Ives,1.01
2008,Gorge,Multnomah,0.24
2008,Gorge,St_Cloud,0.12
2007,Cascade,I205,0.15
2007,Coastal,Grays_CJ,1.04
2007,Coastal,Grays_MS,5.76
2007,Coastal,Grays_WF,4.18
2007,Gorge,Duncan_Creek,0.16
2007,Gorge,Hamilton_Channel,0.25
2007,Gorge,Hamilton_Creek,1.22
2007,Gorge,Hardy_Creek,0.07
2007,Gorge,Horsetail,0.16
2007,Gorge,Ives,1.01
2007,Gorge,Multnomah,0.24
2007,Gorge,St_Cloud,0.12
2006,Cascade,I205,0.15
2006,Coastal,Grays_CJ,1.04
2006,Coastal,Grays_MS,5.76
2006,Coastal,Grays_WF,4.18
2006,Gorge,Duncan_Creek,0.16
2006,Gorge,Hamilton_Channel,0.25
2006,Gorge,Hamilton_Creek,1.22
2006,Gorge,Hardy_Creek,0.07
2006,Gorge,Horsetail,0.16
2006,Gorge,Ives,1.01
2006,Gorge,Multnomah,0.24
2006,Gorge,St_Cloud,0.12
2005,Cascade,I205,0.15
2005,Coastal,Grays_CJ,1.04
2005,Coastal,Grays_MS,5.76
2005,Coastal,Grays_WF,4.18
2005,Gorge,Duncan_Creek,0.16
2005,Gorge,Hamilton_Channel,0.25
2005,Gorge,Hamilton_Creek,1.22
2005,Gorge,Hardy_Creek,0.07
2005,Gorge,Horsetail,0.16
2005,Gorge,Ives,1.01
2005,Gorge,Multnomah,0.24
2005,Gorge,St_Cloud,0.12
2004,Cascade,I205,0.15
2004,Coastal,Grays_CJ,1.04
2004,Coastal,Grays_MS,5.76
2004,Coastal,Grays_WF,4.18
2004,Gorge,Duncan_Creek,0.16
2004,Gorge,Hamilton_Channel,0.25
2004,Gorge,Hamilton_Creek,1.22
2004,Gorge,Hardy_Creek,0.07
2004,Gorge,Horsetail,0.16
2004,Gorge,Ives,1.01
2004,Gorge,Multnomah,0.24
2004,Gorge,St_Cloud,0.12
2003,Cascade,I205,0.15
2003,Coastal,Grays_CJ,1.04
2003,Coastal,Grays_MS,5.76
2003,Coastal,Grays_WF,4.18
2003,Gorge,Duncan_Creek,0.16
2003,Gorge,Hamilton_Channel,0.25
2003,Gorge,Hamilton_Creek,1.22
2003,Gorge,Hardy_Creek,0.07
2003,Gorge,Horsetail,0.16
2003,Gorge,Ives,1.01
2003,Gorge,Multnomah,0.24
2003,Gorge,St_Cloud,0.12
2002,Cascade,I205,0.15
2002,Coastal,Grays_CJ,1.04
2002,Coastal,Grays_MS,5.76
2002,Coastal,Grays_WF,4.18
2002,Gorge,Duncan_Creek,0.16
2002,Gorge,Hamilton_Channel,0.25
2002,Gorge,Hamilton_Creek,1.22
2002,Gorge,Hardy_Creek,0.07
2002,Gorge,Horsetail,0.16
2002,Gorge,Ives,1.01
2002,Gorge,Multnomah,0.24
2002,Gorge,St_Cloud,0.12
2001,Cascade,I205,0.15
2001,Coastal,Grays_CJ,1.04
2001,Coastal,Grays_MS,5.76
2001,Coastal,Grays_WF,4.18
2001,Gorge,Duncan_Creek,0.16
2001,Gorge,Hamilton_Channel,0.25
2001,Gorge,Hamilton_Creek,1.22
2001,Gorge,Hardy_Creek,0.07
2001,Gorge,Horsetail,0.16
2001,Gorge,Ives,1.01
2001,Gorge,Multnomah,0.24
2001,Gorge,St_Cloud,0.12
